ID,MainCategory,SubCategory,TotalPower
1,Other renewable energies,Photovoltaic,449681.88
1,Other renewable energies,Biomass,27351.50
1,Other renewable energies,Waste,75400.00
1,Other renewable energies,Wind energy,62.80
1,Hydroelectric power,Hydroelectric power,106396.90
1,Fossil fuel,Natural gas,14414.00
2,Other renewable energies,Photovoltaic,572115.63
2,Other renewable energies,Biomass,55689.60
2,Other renewable energies,Wind energy,37250.00
2,Other renewable energies,Waste,36120.00
2,Hydroelectric power,Hydroelectric power,1697711.00
2,Fossil fuel,Natural gas,96990.50
2,Fossil fuel,Crude oil,5.30
3,Other renewable energies,Photovoltaic,346676.35
3,Other renewable energies,Biomass,14232.10
3,Other renewable energies,Wind energy,4242.00
3,Other renewable energies,Waste,27200.00
3,Hydroelectric power,Hydroelectric power,11449.20
3,Fossil fuel,Natural gas,3551.00
4,Other renewable energies,Photovoltaic,14785.48
4,Other renewable energies,Wind energy,3300.00
4,Other renewable energies,Biomass,240.00
4,Hydroelectric power,Hydroelectric power,481935.50
5,Other renewable energies,Photovoltaic,79605.03
5,Other renewable energies,Biomass,17635.00
5,Hydroelectric power,Hydroelectric power,316137.59
6,Other renewable energies,Photovoltaic,25934.21
6,Other renewable energies,Biomass,800.00
6,Hydroelectric power,Hydroelectric power,127215.00
7,Other renewable energies,Photovoltaic,19495.90
7,Other renewable energies,Biomass,154.00
7,Hydroelectric power,Hydroelectric power,38653.10
8,Hydroelectric power,Hydroelectric power,1697410.50
8,Other renewable energies,Photovoltaic,20425.60
8,Other renewable energies,Waste,12500.00
8,Other renewable energies,Biomass,615.00
9,Other renewable energies,Photovoltaic,63961.89
9,Other renewable energies,Biomass,1596.00
9,Hydroelectric power,Hydroelectric power,6145.52
9,Fossil fuel,Natural gas,260.00
10,Other renewable energies,Photovoltaic,260784.59
10,Other renewable energies,Biomass,7344.50
10,Other renewable energies,Waste,10000.00
10,Hydroelectric power,Hydroelectric power,250655.91
10,Fossil fuel,Natural gas,1748.00
11,Other renewable energies,Photovoltaic,171811.29
11,Other renewable energies,Biomass,2211.00
11,Other renewable energies,Waste,21600.00
11,Other renewable energies,Wind energy,12.80
11,Hydroelectric power,Hydroelectric power,101065.50
11,Fossil fuel,Natural gas,1962.40
11,Nuclear energy,Nuclear energy,1035000.00
12,Other renewable energies,Photovoltaic,39353.82
12,Other renewable energies,Waste,16214.60
12,Other renewable energies,Biomass,13215.40
12,Hydroelectric power,Hydroelectric power,238.50
12,Fossil fuel,Natural gas,27680.00
13,Other renewable energies,Photovoltaic,133352.47
13,Other renewable energies,Biomass,1619.00
13,Hydroelectric power,Hydroelectric power,131055.00
13,Fossil fuel,Natural gas,12540.00
14,Other renewable energies,Photovoltaic,42342.94
14,Other renewable energies,Biomass,2073.80
14,Hydroelectric power,Hydroelectric power,35778.75
15,Other renewable energies,Photovoltaic,39343.49
15,Other renewable energies,Biomass,1837.00
15,Hydroelectric power,Hydroelectric power,2391.00
16,Other renewable energies,Photovoltaic,18094.19
16,Other renewable energies,Biomass,110.00
16,Hydroelectric power,Hydroelectric power,2532.00
16,Fossil fuel,Natural gas,780.00
17,Other renewable energies,Photovoltaic,390353.70
17,Other renewable energies,Wind energy,210.00
17,Other renewable energies,Biomass,12735.00
17,Other renewable energies,Waste,42850.00
17,Hydroelectric power,Hydroelectric power,467971.10
17,Fossil fuel,Natural gas,7135.00
18,Other renewable energies,Wind energy,3010.00
18,Other renewable energies,Photovoltaic,124453.58
18,Other renewable energies,Biomass,23710.00
18,Other renewable energies,Waste,13000.00
18,Hydroelectric power,Hydroelectric power,2828365.25
18,Fossil fuel,Natural gas,1405.00
19,Other renewable energies,Photovoltaic,376037.43
19,Other renewable energies,Biomass,18146.60
19,Other renewable energies,Wind energy,10.00
19,Other renewable energies,Waste,32510.00
19,Hydroelectric power,Hydroelectric power,713133.70
19,Nuclear energy,Nuclear energy,1979600.00
19,Fossil fuel,Natural gas,886.00
20,Other renewable energies,Photovoltaic,273425.62
20,Other renewable energies,Biomass,19589.90
20,Other renewable energies,Wind energy,6.40
20,Other renewable energies,Waste,15640.00
20,Hydroelectric power,Hydroelectric power,10278.80
20,Fossil fuel,Natural gas,80.00
21,Other renewable energies,Wind energy,12750.00
21,Other renewable energies,Photovoltaic,200066.19
21,Other renewable energies,Biomass,1954.00
21,Other renewable energies,Waste,18600.00
21,Hydroelectric power,Hydroelectric power,1553891.80
21,Fossil fuel,Natural gas,905.30
22,Other renewable energies,Photovoltaic,406482.52
22,Other renewable energies,Biomass,14724.90
22,Other renewable energies,Waste,21240.00
22,Hydroelectric power,Hydroelectric power,489175.70
22,Fossil fuel,Natural gas,507.00
23,Other renewable energies,Photovoltaic,203563.21
23,Other renewable energies,Wind energy,16350.00
23,Other renewable energies,Biomass,8605.80
23,Other renewable energies,Waste,4520.00
23,Hydroelectric power,Hydroelectric power,4852948.50
23,Fossil fuel,Natural gas,60326.00
24,Other renewable energies,Photovoltaic,100514.97
24,Other renewable energies,Biomass,2130.10
24,Other renewable energies,Wind energy,3.40
24,Other renewable energies,Waste,14145.00
24,Hydroelectric power,Hydroelectric power,58329.00
24,Fossil fuel,Natural gas,47876.00
25,Other renewable energies,Photovoltaic,104716.47
25,Other renewable energies,Biomass,642.00
25,Other renewable energies,Waste,18400.00
25,Hydroelectric power,Hydroelectric power,163310.00
25,Fossil fuel,Natural gas,1068.00
26,Other renewable energies,Photovoltaic,77644.83
26,Other renewable energies,Wind energy,10913.50
26,Other renewable energies,Biomass,4756.00
26,Hydroelectric power,Hydroelectric power,10781.00
