ID,MainCategory,SubCategory,TotalPower,Date
2761,Other renewable energies,Photovoltaic,182.22,2009
2772,Other renewable energies,Photovoltaic,145.41,2009
4169,Other renewable energies,Photovoltaic,47.7,2011
611,Other renewable energies,Photovoltaic,81,2008
632,Other renewable energies,Photovoltaic,3,2008
762,Other renewable energies,Photovoltaic,18.200000000000003,2008
111,Other renewable energies,Photovoltaic,4.8,2006
113,Other renewable energies,Photovoltaic,8.8,2006
114,Other renewable energies,Photovoltaic,17.5,2006
117,Other renewable energies,Photovoltaic,4.8,2006
154,Other renewable energies,Photovoltaic,194.4,2010
3271,Other renewable energies,Photovoltaic,124.74000000000001,2008
3273,Other renewable energies,Photovoltaic,381.9799999999999,2008
3275,Other renewable energies,Photovoltaic,140.94000000000003,2008
4001,Other renewable energies,Photovoltaic,1.6,2006
4012,Other renewable energies,Photovoltaic,1.6,2006
4005,Other renewable energies,Photovoltaic,13.7,2011
3392,Other renewable energies,Photovoltaic,638.3799999999999,2011
3426,Other renewable energies,Photovoltaic,216.35,2011
3427,Other renewable energies,Photovoltaic,255.85999999999999,2011
4746,Other renewable energies,Photovoltaic,241.97,2011
219,Other renewable energies,Photovoltaic,135.7,2011
230,Other renewable energies,Photovoltaic,1010.6499999999994,2011
670,Other renewable energies,Photovoltaic,50.949999999999996,2008
2309,Other renewable energies,Photovoltaic,55.75,2008
5061,Other renewable energies,Wind energy,10200,2020
2295,Other renewable energies,Photovoltaic,21.439999999999998,2008
2305,Other renewable energies,Photovoltaic,8,2008
2306,Other renewable energies,Photovoltaic,44.699999999999996,2008
5151,Other renewable energies,Photovoltaic,1541.08,2009
5194,Other renewable energies,Photovoltaic,1541.08,2009
3392,Other renewable energies,Photovoltaic,160.62,2008
3426,Other renewable energies,Photovoltaic,149.72,2008
3427,Other renewable energies,Photovoltaic,112.22,2008
4746,Other renewable energies,Photovoltaic,118.02000000000001,2008
4165,Other renewable energies,Photovoltaic,80.89999999999999,2009
4182,Other renewable energies,Photovoltaic,72.7,2009
2553,Other renewable energies,Photovoltaic,22.400000000000002,2009
2622,Other renewable energies,Photovoltaic,3.2,2008
3392,Other renewable energies,Photovoltaic,40.71,2007
3426,Other renewable energies,Photovoltaic,36.31,2007
3427,Other renewable energies,Photovoltaic,65.61,2007
4746,Other renewable energies,Photovoltaic,52.010000000000005,2007
177,Other renewable energies,Photovoltaic,75.4,2009
3312,Other renewable energies,Photovoltaic,3.2,2008
3313,Other renewable energies,Photovoltaic,11.899999999999999,2008
3392,Other renewable energies,Photovoltaic,6.8,2006
3426,Other renewable energies,Photovoltaic,6.8,2006
3427,Other renewable energies,Photovoltaic,6.8,2006
4746,Other renewable energies,Photovoltaic,6.8,2006
172,Other renewable energies,Photovoltaic,45.5,2010
180,Other renewable energies,Photovoltaic,100.6,2010
296,Other renewable energies,Photovoltaic,108.20000000000002,2010
324,Other renewable energies,Photovoltaic,5.300000000000001,2009
331,Other renewable energies,Photovoltaic,5.300000000000001,2009
2262,Other renewable energies,Photovoltaic,283.0700000000002,2011
3392,Other renewable energies,Photovoltaic,385.18,2010
3426,Other renewable energies,Photovoltaic,111.67999999999999,2010
3427,Other renewable energies,Photovoltaic,134.25,2010
4746,Other renewable energies,Photovoltaic,59.66,2010
5079,Other renewable energies,Wind energy,5100,2020
3001,Other renewable energies,Photovoltaic,182.58,2009
3402,Other renewable energies,Photovoltaic,222.78,2009
3422,Other renewable energies,Photovoltaic,176.48,2009
3443,Other renewable energies,Photovoltaic,524.67,2009
4195,Other renewable energies,Photovoltaic,205.26,2009
4209,Other renewable energies,Photovoltaic,201.76,2009
1506,Other renewable energies,Photovoltaic,16.4,2009
1508,Other renewable energies,Photovoltaic,25.2,2009
1509,Other renewable energies,Photovoltaic,31.099999999999998,2009
1058,Other renewable energies,Photovoltaic,130.41,2008
4616,Other renewable energies,Photovoltaic,142,2008
616,Other renewable energies,Photovoltaic,10.2,2007
2554,Other renewable energies,Photovoltaic,3.6,2008
4816,Other renewable energies,Photovoltaic,999.6800000000001,2013
4841,Other renewable energies,Photovoltaic,1161.92,2013
1506,Other renewable energies,Photovoltaic,361.93,2012
1508,Other renewable energies,Photovoltaic,707.6999999999999,2012
1509,Other renewable energies,Photovoltaic,398.83000000000004,2012
6263,Other renewable energies,Photovoltaic,2147.39,2012
6265,Other renewable energies,Photovoltaic,1712.1799999999998,2012
6266,Other renewable energies,Photovoltaic,1950.3499999999997,2012
3360,Hydroelectric power,Hydroelectric power,1595,2011
2461,Other renewable energies,Photovoltaic,7.2,2007
6052,Other renewable energies,Photovoltaic,24.15,2013
6058,Other renewable energies,Photovoltaic,24.15,2013
