ID,MainCategory,SubCategory,TotalPower
1,Other renewable energies,Photovoltaic,520.36
2,Other renewable energies,Photovoltaic,2306.70
3,Other renewable energies,Photovoltaic,1385.83
4,Other renewable energies,Photovoltaic,1967.64
4,Other renewable energies,Biomass,15.00
5,Other renewable energies,Photovoltaic,2461.08
6,Other renewable energies,Photovoltaic,452.77
7,Other renewable energies,Photovoltaic,3318.09
8,Other renewable energies,Photovoltaic,573.38
9,Other renewable energies,Photovoltaic,3484.65
10,Other renewable energies,Photovoltaic,2089.50
10,Other renewable energies,Biomass,50.00
11,Other renewable energies,Photovoltaic,1541.55
11,Other renewable energies,Biomass,340.00
12,Other renewable energies,Photovoltaic,1134.12
13,Other renewable energies,Photovoltaic,800.64
14,Other renewable energies,Photovoltaic,97.24
21,Other renewable energies,Photovoltaic,63.94
23,Other renewable energies,Photovoltaic,183.86
24,Other renewable energies,Photovoltaic,502.16
24,Other renewable energies,Biomass,296.00
25,Other renewable energies,Photovoltaic,724.99
26,Other renewable energies,Photovoltaic,214.62
27,Other renewable energies,Photovoltaic,1348.80
28,Other renewable energies,Photovoltaic,615.40
28,Other renewable energies,Biomass,20.00
29,Other renewable energies,Photovoltaic,396.16
30,Other renewable energies,Photovoltaic,1118.06
30,Other renewable energies,Biomass,25.00
30,Hydroelectric power,Hydroelectric power,5.00
31,Other renewable energies,Photovoltaic,1407.06
32,Other renewable energies,Photovoltaic,215.22
33,Other renewable energies,Photovoltaic,738.21
35,Other renewable energies,Photovoltaic,1049.26
35,Other renewable energies,Biomass,250.00
35,Other renewable energies,Wind energy,6.50
37,Other renewable energies,Photovoltaic,2066.82
38,Other renewable energies,Photovoltaic,593.39
38,Hydroelectric power,Hydroelectric power,42500.00
39,Other renewable energies,Photovoltaic,304.59
40,Other renewable energies,Photovoltaic,639.69
41,Other renewable energies,Photovoltaic,252.89
43,Other renewable energies,Photovoltaic,179.78
51,Other renewable energies,Photovoltaic,1549.64
52,Other renewable energies,Photovoltaic,3143.94
53,Other renewable energies,Photovoltaic,5153.38
53,Fossil fuel,Natural gas,51.00
54,Other renewable energies,Photovoltaic,4151.17
54,Other renewable energies,Biomass,60.00
55,Other renewable energies,Photovoltaic,2675.50
56,Other renewable energies,Photovoltaic,3550.43
57,Other renewable energies,Photovoltaic,25.18
58,Other renewable energies,Photovoltaic,1122.99
59,Other renewable energies,Photovoltaic,628.55
60,Other renewable energies,Photovoltaic,1078.57
61,Other renewable energies,Photovoltaic,814.95
62,Other renewable energies,Photovoltaic,2897.01
62,Fossil fuel,Natural gas,20.00
63,Other renewable energies,Photovoltaic,743.56
64,Other renewable energies,Photovoltaic,1896.49
65,Other renewable energies,Photovoltaic,470.99
66,Other renewable energies,Photovoltaic,2977.93
66,Fossil fuel,Natural gas,50.00
67,Other renewable energies,Photovoltaic,2915.57
68,Other renewable energies,Photovoltaic,474.67
68,Other renewable energies,Biomass,70.00
69,Other renewable energies,Photovoltaic,5334.06
69,Other renewable energies,Biomass,11000.00
69,Fossil fuel,Natural gas,2012.00
69,Hydroelectric power,Hydroelectric power,25.00
70,Other renewable energies,Photovoltaic,205.30
72,Other renewable energies,Photovoltaic,1604.43
81,Other renewable energies,Photovoltaic,365.49
82,Other renewable energies,Photovoltaic,645.48
84,Other renewable energies,Biomass,670.00
84,Other renewable energies,Photovoltaic,1710.37
85,Other renewable energies,Photovoltaic,705.22
86,Other renewable energies,Photovoltaic,4745.34
87,Other renewable energies,Photovoltaic,168.73
88,Other renewable energies,Photovoltaic,785.61
89,Other renewable energies,Photovoltaic,1695.93
89,Other renewable energies,Biomass,250.00
90,Other renewable energies,Photovoltaic,3501.54
91,Other renewable energies,Photovoltaic,1682.60
92,Other renewable energies,Photovoltaic,3852.65
93,Other renewable energies,Photovoltaic,413.69
94,Other renewable energies,Photovoltaic,2788.97
94,Other renewable energies,Biomass,2980.00
95,Other renewable energies,Photovoltaic,164.83
96,Other renewable energies,Photovoltaic,4773.69
96,Other renewable energies,Biomass,122.00
97,Other renewable energies,Photovoltaic,4063.88
97,Other renewable energies,Biomass,5.50
97,Fossil fuel,Natural gas,130.00
98,Other renewable energies,Photovoltaic,324.03
99,Other renewable energies,Photovoltaic,399.15
100,Other renewable energies,Photovoltaic,167.67
101,Other renewable energies,Photovoltaic,2682.25
102,Other renewable energies,Photovoltaic,748.45
111,Other renewable energies,Photovoltaic,2461.08
112,Other renewable energies,Photovoltaic,2677.10
112,Other renewable energies,Biomass,28.00
113,Other renewable energies,Photovoltaic,2261.60
114,Other renewable energies,Photovoltaic,540.35
116,Other renewable energies,Photovoltaic,2150.06
117,Other renewable energies,Photovoltaic,5506.82
117,Other renewable energies,Waste,20200.00
117,Other renewable energies,Biomass,60.00
119,Other renewable energies,Photovoltaic,97.53
131,Other renewable energies,Photovoltaic,2357.60
136,Other renewable energies,Photovoltaic,1287.27
136,Hydroelectric power,Hydroelectric power,150.00
137,Other renewable energies,Photovoltaic,786.41
138,Other renewable energies,Biomass,72.00
138,Other renewable energies,Photovoltaic,1594.54
139,Other renewable energies,Photovoltaic,964.08
141,Other renewable energies,Photovoltaic,2587.56
141,Other renewable energies,Biomass,65.00
152,Other renewable energies,Photovoltaic,2064.51
153,Other renewable energies,Photovoltaic,2674.44
155,Other renewable energies,Photovoltaic,1838.44
156,Other renewable energies,Photovoltaic,2933.68
157,Other renewable energies,Biomass,115.00
157,Other renewable energies,Photovoltaic,1548.89
158,Other renewable energies,Photovoltaic,3451.86
159,Other renewable energies,Photovoltaic,2219.85
160,Other renewable energies,Photovoltaic,1343.41
161,Other renewable energies,Photovoltaic,893.76
172,Other renewable energies,Photovoltaic,2610.49
172,Other renewable energies,Biomass,50.00
173,Other renewable energies,Photovoltaic,2878.26
