ID,Municipality,MainCategory,SubCategory,TotalPower
1,Aeugst am Albis,Other renewable energies,Photovoltaic,1378.65
2,Affoltern am Albis,Other renewable energies,Biomass,144.00
2,Affoltern am Albis,Other renewable energies,Photovoltaic,3170.21
3,Bonstetten,Other renewable energies,Photovoltaic,1385.83
4,Hausen am Albis,Other renewable energies,Photovoltaic,16487.87
4,Hausen am Albis,Other renewable energies,Biomass,656.00
4,Hausen am Albis,Hydroelectric power,Hydroelectric power,4014.00
5,Hedingen,Other renewable energies,Photovoltaic,2419.19
6,Kappel am Albis,Other renewable energies,Photovoltaic,1000.48
7,Knonau,Other renewable energies,Photovoltaic,3320.99
8,Maschwanden,Other renewable energies,Photovoltaic,573.38
9,Mettmenstetten,Other renewable energies,Photovoltaic,3498.40
10,Obfelden,Other renewable energies,Photovoltaic,2097.00
10,Obfelden,Other renewable energies,Biomass,50.00
11,Ottenbach,Other renewable energies,Photovoltaic,1553.55
11,Ottenbach,Other renewable energies,Biomass,340.00
12,Rifferswil,Other renewable energies,Photovoltaic,1135.52
13,Stallikon,Other renewable energies,Photovoltaic,3166.74
14,Wettswil am Albis,Other renewable energies,Photovoltaic,2276.05
22,Benken (ZH),Other renewable energies,Photovoltaic,287.89
23,Berg am Irchel,Other renewable energies,Photovoltaic,379.64
24,Buch am Irchel,Other renewable energies,Photovoltaic,499.78
24,Buch am Irchel,Other renewable energies,Biomass,296.00
25,Dachsen,Other renewable energies,Photovoltaic,727.24
26,Dorf,Other renewable energies,Photovoltaic,214.62
27,Feuerthalen,Other renewable energies,Photovoltaic,1637.78
28,Flaach,Other renewable energies,Photovoltaic,609.55
28,Flaach,Other renewable energies,Biomass,20.00
29,Flurlingen,Other renewable energies,Photovoltaic,402.48
30,Andelfingen,Other renewable energies,Photovoltaic,1896.93
30,Andelfingen,Other renewable energies,Biomass,25.00
30,Andelfingen,Hydroelectric power,Hydroelectric power,5.00
31,Henggart,Other renewable energies,Photovoltaic,1429.56
33,Kleinandelfingen,Other renewable energies,Photovoltaic,1058.53
34,Laufen-Uhwiesen,Other renewable energies,Photovoltaic,3840.38
34,Laufen-Uhwiesen,Other renewable energies,Biomass,250.00
34,Laufen-Uhwiesen,Hydroelectric power,Hydroelectric power,5160.00
35,Marthalen,Other renewable energies,Photovoltaic,1049.26
35,Marthalen,Other renewable energies,Biomass,250.00
35,Marthalen,Other renewable energies,Wind energy,6.50
37,Ossingen,Other renewable energies,Photovoltaic,2709.51
38,Rheinau,Other renewable energies,Photovoltaic,596.39
38,Rheinau,Hydroelectric power,Hydroelectric power,42500.00
39,Thalheim an der Thur,Other renewable energies,Photovoltaic,430.11
40,Trüllikon,Other renewable energies,Photovoltaic,546.49
41,Truttikon,Other renewable energies,Photovoltaic,257.09
43,Volken,Other renewable energies,Photovoltaic,179.78
51,Bachenbülach,Other renewable energies,Photovoltaic,6709.22
51,Bachenbülach,Fossil fuel,Natural gas,51.00
52,Bassersdorf,Other renewable energies,Photovoltaic,3183.20
53,Bülach,Other renewable energies,Photovoltaic,1244.15
53,Bülach,Hydroelectric power,Hydroelectric power,45220.00
54,Dietlikon,Other renewable energies,Photovoltaic,9119.82
54,Dietlikon,Other renewable energies,Biomass,460.00
55,Eglisau,Other renewable energies,Photovoltaic,5598.07
56,Embrach,Other renewable energies,Photovoltaic,3550.43
57,Freienstein-Teufen,Other renewable energies,Photovoltaic,1270.89
57,Freienstein-Teufen,Other renewable energies,Biomass,70.00
57,Freienstein-Teufen,Hydroelectric power,Hydroelectric power,600.00
59,Hochfelden,Other renewable energies,Photovoltaic,628.55
60,Höri,Other renewable energies,Photovoltaic,1102.37
61,Hüntwangen,Other renewable energies,Photovoltaic,814.95
62,Kloten,Other renewable energies,Photovoltaic,4809.14
62,Kloten,Fossil fuel,Natural gas,20.00
63,Lufingen,Other renewable energies,Photovoltaic,766.64
65,Oberembrach,Other renewable energies,Photovoltaic,500.99
66,Opfikon,Other renewable energies,Photovoltaic,6512.23
66,Opfikon,Fossil fuel,Natural gas,456.00
69,Wallisellen,Other renewable energies,Photovoltaic,5334.06
69,Wallisellen,Other renewable energies,Biomass,11000.00
69,Wallisellen,Fossil fuel,Natural gas,2012.00
69,Wallisellen,Hydroelectric power,Hydroelectric power,25.00
70,Wasterkingen,Other renewable energies,Photovoltaic,2033.74
72,Winkel,Other renewable energies,Photovoltaic,1618.13
81,Bachs,Other renewable energies,Photovoltaic,373.49
82,Boppelsen,Other renewable energies,Photovoltaic,810.31
83,Buchs (ZH),Other renewable energies,Photovoltaic,2238.51
83,Buchs (ZH),Other renewable energies,Biomass,40.00
84,Dällikon,Other renewable energies,Biomass,670.00
84,Dällikon,Other renewable energies,Photovoltaic,1710.37
85,Dänikon,Other renewable energies,Photovoltaic,712.24
86,Dielsdorf,Other renewable energies,Photovoltaic,4752.54
87,Hüttikon,Other renewable energies,Photovoltaic,168.73
88,Neerach,Other renewable energies,Photovoltaic,4042.69
89,Niederglatt,Other renewable energies,Photovoltaic,5186.78
