name,id
Aeugst am Albis,1
Affoltern am Albis,2
Bonstetten,3
Hausen am Albis,4
Hedingen,5
Kappel am Albis,6
Knonau,7
Maschwanden,8
Mettmenstetten,9
Obfelden,10
Ottenbach,11
Rifferswil,12
Stallikon,13
Wettswil am Albis,14
Adlikon,21
Benken (ZH),22
Berg am Irchel,23
Buch am Irchel,24
Dachsen,25
Dorf,26
Feuerthalen,27
Flaach,28
Flurlingen,29
Andelfingen,30
Henggart,31
Humlikon,32
Kleinandelfingen,33
Laufen-Uhwiesen,34
Marthalen,35
Ossingen,37
Rheinau,38
Thalheim an der Thur,39
Trüllikon,40
Truttikon,41
Volken,43
Bachenbülach,51
Bassersdorf,52
Bülach,53
Dietlikon,54
Eglisau,55
Embrach,56
Freienstein-Teufen,57
Glattfelden,58
Hochfelden,59
Höri,60
Hüntwangen,61
Kloten,62
Lufingen,63
Nürensdorf,64
Oberembrach,65
Opfikon,66
Rafz,67
Rorbas,68
Wallisellen,69
Wasterkingen,70
Wil (ZH),71
Winkel,72
Bachs,81
Boppelsen,82
Buchs (ZH),83
Dällikon,84
Dänikon,85
Dielsdorf,86
Hüttikon,87
Neerach,88
Niederglatt,89
Niederhasli,90
Niederweningen,91
Oberglatt,92
Oberweningen,93
Otelfingen,94
Regensberg,95
Regensdorf,96
Rümlang,97
Schleinikon,98
Schöfflisdorf,99
Stadel,100
Steinmaur,101
Weiach,102
Bäretswil,111
Bubikon,112
Dürnten,113
Fischenthal,114
Gossau (ZH),115
Grüningen,116
Hinwil,117
Rüti (ZH),118
Seegräben,119
Wald (ZH),120
Wetzikon (ZH),121
Adliswil,131
Kilchberg (ZH),135
Langnau am Albis,136
Oberrieden,137
Richterswil,138
Rüschlikon,139
Thalwil,141
Erlenbach (ZH),151
Herrliberg,152
Hombrechtikon,153
Küsnacht (ZH),154
Männedorf,155
Meilen,156
Oetwil am See,157
Stäfa,158
Uetikon am See,159
Zumikon,160
Zollikon,161
Fehraltorf,172
Hittnau,173
Lindau,176
Pfäffikon,177
Russikon,178
Weisslingen,180
Wila,181
Wildberg,182
Dübendorf,191
Egg,192
Fällanden,193
Greifensee,194
Maur,195
Mönchaltorf,196
Schwerzenbach,197
Uster,198
Volketswil,199
Wangen-Brüttisellen,200
Altikon,211
Brütten,213
Dägerlen,214
Dättlikon,215
Dinhard,216
Ellikon an der Thur,218
Elsau,219
Hagenbuch,220
Hettlingen,221
Neftenbach,223
Pfungen,224
Rickenbach (ZH),225
Schlatt (ZH),226
Seuzach,227
Turbenthal,228
Winterthur,230
Zell (ZH),231
Aesch (ZH),241
Birmensdorf (ZH),242
Dietikon,243
Geroldswil,244
Oberengstringen,245
Oetwil an der Limmat,246
Schlieren,247
Uitikon,248
Unterengstringen,249
Urdorf,250
Weiningen (ZH),251
Zürich,261
Zrich,261
Stammheim,292
Wädenswil,293
Elgg,294
Horgen,295
Illnau-Effretikon,296
Bauma,297
Wiesendangen,298
Aarberg,301
Bargen (BE),302
Grossaffoltern,303
Kallnach,304
Kappelen,305
Lyss,306
Meikirch,307
Radelfingen,309
Rapperswil (BE),310
Schüpfen,311
Seedorf (BE),312
Aarwangen,321
Auswil,322
Bannwil,323
Bleienbach,324
Busswil bei Melchnau,325
Gondiswil,326
Langenthal,329
Lotzwil,331
Madiswil,332
Melchnau,333
Oeschenbach,335
Reisiswil,336
Roggwil (BE),337
Rohrbach,338
Rohrbachgraben,339
Rütschelen,340
Schwarzhäusern,341
Thunstetten,342
Ursenbach,344
Wynau,345
Bern,351
Bolligen,352
Bremgarten bei Bern,353
Kirchlindach,354
Köniz,355
Muri bei Bern,356
Oberbalm,357
Stettlen,358
Vechigen,359
Utzigen,359
Wohlen bei Bern,360
Zollikofen,361
Ittigen,362
Ostermundigen,363
Biel/Bienne,371
Evilard,372
Arch,381
Büetigen,382
Büren an der Aare,383
Diessbach bei Büren,385
Dotzigen,386
Lengnau (BE),387
Leuzigen,388
Meienried,389
Meinisberg,390
Oberwil bei Büren,391
Pieterlen,392
Rüti bei Büren,393
Wengi,394
Aefligen,401
Alchenstorf,402
Bäriswil,403
Burgdorf,404
Ersigen,405
Hasle bei Burgdorf,406
Heimiswil,407
Hellsau,408
Hindelbank,409
Höchstetten,410
Kernenried,411
Kirchberg (BE),412
Koppigen,413
Krauchthal,414
Lyssach,415
Oberburg,418
Rüdtligen-Alchenflüh,420
Rumendingen,421
Rüti bei Lyssach,422
Willadingen,423
Wynigen,424
Corgémont,431
Cormoret,432
Cortébert,433
Courtelary,434
La Ferrière,435
Mont-Tramelan,437
Orvin,438
Renan (BE),441
Romont (BE),442
Saint-Imier,443
Sonceboz-Sombeval,444
Sonvilier,445
Tramelan,446
Villeret,448
Sauge,449
Péry-La Heutte,450
Brüttelen,491
Erlach,492
Finsterhennen,493
Gals,494
Gampelen,495
Ins,496
Lüscherz,497
Müntschemier,498
Siselen,499
Treiten,500
Tschugg,501
Vinelz,502
Bätterkinden,533
Deisswil bei Münchenbuchsee,535
Diemerswil,536
Fraubrunnen,538
Jegenstorf,540
Iffwil,541
Mattstetten,543
Moosseedorf,544
Münchenbuchsee,546
Urtenen-Schönbühl,551
Utzenstorf,552
Wiggiswil,553
Wiler bei Utzenstorf,554
Zielebach,556
Zuzwil (BE),557
Adelboden,561
Aeschi bei Spiez,562
Frutigen,563
Kandergrund,564
Kandersteg,565
Krattigen,566
Reichenbach im Kandertal,567
Beatenberg,571
Bönigen,572
Brienz (BE),573
Brienzwiler,574
Därligen,575
Grindelwald,576
Gsteigwiler,577
Gündlischwand,578
Habkern,579
Hofstetten bei Brienz,580
